127.0.0.1 - - [20/Mar/2017:11:45:55 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:45:56 +0900] "GET /template/index.html HTTP/1.1" 200 11961
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:45:56 +0900] "GET /template/css/grid.css HTTP/1.1" 200 5800
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:45:56 +0900] "GET /template/css/style.css HTTP/1.1" 200 25590
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:45:56 +0900] "GET /template/css/touchTouch.css HTTP/1.1" 200 2356
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:45:56 +0900] "GET /template/css/camera.css HTTP/1.1" 200 10634
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:45:56 +0900] "GET /template/js/jquery.js HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:45:56 +0900] "GET /template/js/jquery-migrate-1.2.1.js HTTP/1.1" 200 17140
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:45:56 +0900] "GET /template/js/camera.js HTTP/1.1" 200 69619
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:45:56 +0900] "GET /template/js/touchTouch.jquery.js HTTP/1.1" 200 6009
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:45:56 +0900] "GET /template/js/jquery.stellar.js HTTP/1.1" 200 23078
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:45:56 +0900] "GET /template/js/script.js HTTP/1.1" 200 3309
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:45:56 +0900] "GET /template/js/wow.js HTTP/1.1" 200 11548
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:45:56 +0900] "GET /template/js/jquery.mobile.customized.min.js HTTP/1.1" 200 17519
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:45:56 +0900] "GET /template/images/index_img-1.jpg HTTP/1.1" 200 11814
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:45:56 +0900] "GET /template/images/index_img-2.jpg HTTP/1.1" 200 13870
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:45:56 +0900] "GET /template/images/index_img-4.jpg HTTP/1.1" 200 27045
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:45:56 +0900] "GET /template/images/index_img-3.jpg HTTP/1.1" 200 12027
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:45:56 +0900] "GET /template/images/index_img-5.jpg HTTP/1.1" 200 19413
